BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,0.45,5000,2250.0
TQBR,2014-06-10,0.4699,6000,2719.9
TQBR,2014-06-11,0.45,5000,2250.0
TQBR,2014-06-16,0.4,62000,24790.1
TQBR,2014-06-17,0.43,5000,2150.0
TQBR,2014-06-18,,0,0.0
TQBR,2014-06-19,,0,0.0
TQBR,2014-06-20,0.41,9000,3690.0
TQBR,2014-06-23,,0,0.0
TQBR,2014-06-24,,0,0.0
TQBR,2014-06-25,,0,0.0
TQBR,2014-06-26,,0,0.0
TQBR,2014-06-27,0.4555,55000,22795.5
TQBR,2014-06-30,0.45,5000,2249.8
TQBR,2014-07-01,0.5294,28000,13676.5
TQBR,2014-07-02,0.45,5000,2250.0
TQBR,2014-07-03,0.4799,108000,40414.4
TQBR,2014-07-04,,0,0.0
TQBR,2014-07-07,,0,0.0
TQBR,2014-07-08,,0,0.0
TQBR,2014-07-09,,0,0.0
TQBR,2014-07-10,,0,0.0
TQBR,2014-07-11,,0,0.0
TQBR,2014-07-14,0.4999,103000,54810.5
TQBR,2014-07-15,,0,0.0
TQBR,2014-07-16,,0,0.0
TQBR,2014-07-17,0.499,46000,27404.1
TQBR,2014-07-18,,0,0.0
TQBR,2014-07-21,,0,0.0
TQBR,2014-07-22,0.46,11000,5060.0
TQBR,2014-07-23,,0,0.0
TQBR,2014-07-24,,0,0.0
TQBR,2014-07-25,0.444,9000,3996.0
TQBR,2014-07-28,0.46,43000,19778.9
TQBR,2014-07-29,,0,0.0
TQBR,2014-07-30,,0,0.0
TQBR,2014-07-31,,0,0.0
TQBR,2014-08-01,,0,0.0
TQBR,2014-08-04,,0,0.0
TQBR,2014-08-05,,0,0.0
TQBR,2014-08-06,,0,0.0
TQBR,2014-08-07,,0,0.0
TQBR,2014-08-08,,0,0.0
TQBR,2014-08-11,0.5858,25000,14428.9
TQBR,2014-08-12,0.5,2000,1000.0
TQBR,2014-08-13,,0,0.0
TQBR,2014-08-14,0.4103,5000,2052.2
TQBR,2014-08-15,,0,0.0
TQBR,2014-08-18,0.49,12000,5903.6
TQBR,2014-08-19,,0,0.0
TQBR,2014-08-20,,0,0.0
TQBR,2014-08-21,,0,0.0
TQBR,2014-08-22,,0,0.0
TQBR,2014-08-25,,0,0.0
TQBR,2014-08-26,,0,0.0
TQBR,2014-08-27,,0,0.0
TQBR,2014-08-28,,0,0.0
TQBR,2014-08-29,,0,0.0
TQBR,2014-09-01,,0,0.0
TQBR,2014-09-02,,0,0.0
TQBR,2014-09-03,,0,0.0
TQBR,2014-09-04,,0,0.0
TQBR,2014-09-05,,0,0.0
TQBR,2014-09-08,,0,0.0
TQBR,2014-09-09,,0,0.0
TQBR,2014-09-10,,0,0.0
TQBR,2014-09-11,,0,0.0
TQBR,2014-09-12,,0,0.0
TQBR,2014-09-15,0.5855,2000,1118.8
TQBR,2014-09-16,0.5845,3000,1753.5
TQBR,2014-09-17,0.371,81000,30051.1
TQBR,2014-09-18,,0,0.0
TQBR,2014-09-19,,0,0.0
TQBR,2014-09-22,,0,0.0
TQBR,2014-09-23,0.3645,21000,7654.5
TQBR,2014-09-24,0.364,21000,7647.0
TQBR,2014-09-25,0.37,93000,29415.9
TQBR,2014-09-26,,0,0.0
TQBR,2014-09-29,,0,0.0
TQBR,2014-09-30,,0,0.0
TQBR,2014-10-01,0.4,19000,7686.0
TQBR,2014-10-02,,0,0.0
TQBR,2014-10-03,,0,0.0
TQBR,2014-10-06,0.4,2000,800.0
TQBR,2014-10-07,,0,0.0
TQBR,2014-10-08,,0,0.0
TQBR,2014-10-09,,0,0.0
TQBR,2014-10-10,,0,0.0
TQBR,2014-10-13,,0,0.0
TQBR,2014-10-14,,0,0.0
TQBR,2014-10-15,,0,0.0
TQBR,2014-10-16,,0,0.0
TQBR,2014-10-17,,0,0.0
TQBR,2014-10-20,,0,0.0
TQBR,2014-10-21,,0,0.0
TQBR,2014-10-22,,0,0.0
TQBR,2014-10-23,,0,0.0
TQBR,2014-10-24,,0,0.0
TQBR,2014-10-27,,0,0.0
TQBR,2014-10-28,,0,0.0
TQBR,2014-10-29,,0,0.0
TQBR,2014-10-30,0.51,2000,999.0
TQBR,2014-10-31,,0,0.0
TQBR,2014-11-03,0.634,9000,5668.0
TQBR,2014-11-05,,0,0.0
TQBR,2014-11-06,,0,0.0
TQBR,2014-11-07,0.72,3000,1498.0
TQBR,2014-11-10,,0,0.0
TQBR,2014-11-11,0.55,18000,11064.0
TQBR,2014-11-12,,0,0.0
TQBR,2014-11-13,,0,0.0
TQBR,2014-11-14,,0,0.0
TQBR,2014-11-17,,0,0.0
TQBR,2014-11-18,,0,0.0
TQBR,2014-11-19,,0,0.0
TQBR,2014-11-20,,0,0.0
TQBR,2014-11-21,0.549,1000,549.0
TQBR,2014-11-24,0.426,2000,852.0
TQBR,2014-11-25,,0,0.0
TQBR,2014-11-26,,0,0.0
TQBR,2014-11-27,,0,0.0
TQBR,2014-11-28,,0,0.0
TQBR,2014-12-01,0.419,9000,3771.0
