BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2014-06-09,,0,0
TQBR,2014-06-10,,0,0
TQBR,2014-06-11,14200.0,5,64512
TQBR,2014-06-16,10800.0,1,10800
TQBR,2014-06-17,14000.0,56,757247
TQBR,2014-06-18,,0,0
TQBR,2014-06-19,,0,0
TQBR,2014-06-20,,0,0
TQBR,2014-06-23,,0,0
TQBR,2014-06-24,,0,0
TQBR,2014-06-25,14000.0,18,252000
TQBR,2014-06-26,,0,0
TQBR,2014-06-27,,0,0
TQBR,2014-06-30,,0,0
TQBR,2014-07-01,,0,0
TQBR,2014-07-02,,0,0
TQBR,2014-07-03,,0,0
TQBR,2014-07-04,14500.0,120,1740000
TQBR,2014-07-07,,0,0
TQBR,2014-07-08,11000.0,20,220000
TQBR,2014-07-09,11800.0,96,1123901
TQBR,2014-07-10,,0,0
TQBR,2014-07-11,10150.0,32,324800
TQBR,2014-07-14,,0,0
TQBR,2014-07-15,,0,0
TQBR,2014-07-16,,0,0
TQBR,2014-07-17,11000.0,40,440000
TQBR,2014-07-18,,0,0
TQBR,2014-07-21,,0,0
TQBR,2014-07-22,11983.0,1,11983
TQBR,2014-07-23,,0,0
TQBR,2014-07-24,,0,0
TQBR,2014-07-25,9500.0,4,38000
TQBR,2014-07-28,10500.0,7,73500
TQBR,2014-07-29,10800.0,10,108000
TQBR,2014-07-30,11200.0,18,199600
TQBR,2014-07-31,11196.0,42,464792
TQBR,2014-08-01,,0,0
TQBR,2014-08-04,,0,0
TQBR,2014-08-05,,0,0
TQBR,2014-08-06,10450.0,29,296870
TQBR,2014-08-07,10000.0,1,10000
TQBR,2014-08-08,10800.0,3,32498
TQBR,2014-08-11,,0,0
TQBR,2014-08-12,10500.0,9,91393
TQBR,2014-08-13,11000.0,11,120700
TQBR,2014-08-14,11000.0,1,11000
TQBR,2014-08-15,,0,0
TQBR,2014-08-18,10106.0,6,60724
TQBR,2014-08-19,,0,0
TQBR,2014-08-20,,0,0
TQBR,2014-08-21,,0,0
TQBR,2014-08-22,10200.0,50,510000
TQBR,2014-08-25,,0,0
TQBR,2014-08-26,10110.0,4,40420
TQBR,2014-08-27,10799.0,1,10799
TQBR,2014-08-28,,0,0
TQBR,2014-08-29,,0,0
TQBR,2014-09-01,,0,0
TQBR,2014-09-02,,0,0
TQBR,2014-09-03,10850.0,1,10850
TQBR,2014-09-04,,0,0
TQBR,2014-09-05,,0,0
TQBR,2014-09-08,,0,0
TQBR,2014-09-09,,0,0
TQBR,2014-09-10,11350.0,14,153895
TQBR,2014-09-11,11300.0,10,113000
TQBR,2014-09-12,,0,0
TQBR,2014-09-15,,0,0
TQBR,2014-09-16,,0,0
TQBR,2014-09-17,,0,0
TQBR,2014-09-18,,0,0
TQBR,2014-09-19,10800.0,1,10800
TQBR,2014-09-22,9051.0,26,272617
TQBR,2014-09-23,10290.0,7,69466
TQBR,2014-09-24,,0,0
TQBR,2014-09-25,10000.0,2,20999
TQBR,2014-09-26,,0,0
TQBR,2014-09-29,,0,0
TQBR,2014-09-30,,0,0
TQBR,2014-10-01,,0,0
TQBR,2014-10-02,,0,0
TQBR,2014-10-03,9500.0,12,114250
TQBR,2014-10-06,9800.0,1,9800
TQBR,2014-10-07,,0,0
TQBR,2014-10-08,,0,0
TQBR,2014-10-09,9950.0,2,20150
TQBR,2014-10-10,,0,0
TQBR,2014-10-13,9950.0,2,19150
TQBR,2014-10-14,,0,0
TQBR,2014-10-15,,0,0
TQBR,2014-10-16,9900.0,1,9900
TQBR,2014-10-17,,0,0
TQBR,2014-10-20,9950.0,5,49750
TQBR,2014-10-21,,0,0
TQBR,2014-10-22,,0,0
TQBR,2014-10-23,9200.0,1,9200
TQBR,2014-10-24,,0,0
TQBR,2014-10-27,9100.0,6,54850
TQBR,2014-10-28,,0,0
TQBR,2014-10-29,9600.0,1,9600
TQBR,2014-10-30,9600.0,4,38500
TQBR,2014-10-31,,0,0
TQBR,2014-11-03,,0,0
TQBR,2014-11-05,10300.0,1,10300
TQBR,2014-11-06,10500.0,30,314400
TQBR,2014-11-07,,0,0
TQBR,2014-11-10,,0,0
TQBR,2014-11-11,10100.0,9,90900
TQBR,2014-11-12,,0,0
TQBR,2014-11-13,11000.0,4,43750
TQBR,2014-11-14,,0,0
TQBR,2014-11-17,10350.0,6,62100
TQBR,2014-11-18,10700.0,10,107000
TQBR,2014-11-19,,0,0
TQBR,2014-11-20,11000.0,7,76550
TQBR,2014-11-21,10350.0,16,173950
TQBR,2014-11-24,,0,0
TQBR,2014-11-25,11050.0,16,176800
TQBR,2014-11-26,,0,0
TQBR,2014-11-27,11050.0,1,11050
TQBR,2014-11-28,,0,0
TQBR,2014-12-01,,0,0
TQBR,2014-12-02,11000.0,2,22000
TQBR,2014-12-03,,0,0
TQBR,2014-12-04,,0,0
TQBR,2014-12-05,10500.0,3,31600
TQBR,2014-12-08,10000.0,6,60050
TQBR,2014-12-09,10000.0,10,100000
TQBR,2014-12-10,9900.0,25,258000
TQBR,2014-12-11,,0,0
TQBR,2014-12-12,10600.0,47,498200
TQBR,2014-12-15,,0,0
TQBR,2014-12-16,9000.0,4,36000
TQBR,2014-12-17,7800.0,8,66800
TQBR,2014-12-18,9200.0,6,57950
TQBR,2014-12-19,,0,0
TQBR,2014-12-22,,0,0
TQBR,2014-12-23,9700.0,2,19400
TQBR,2014-12-24,,0,0
TQBR,2014-12-25,,0,0
TQBR,2014-12-26,,0,0
TQBR,2014-12-29,,0,0
TQBR,2014-12-30,,0,0
TQBR,2015-01-05,,0,0
TQBR,2015-01-06,,0,0
TQBR,2015-01-08,,0,0
TQBR,2015-01-09,,0,0
TQBR,2015-01-12,,0,0
TQBR,2015-01-13,,0,0
TQBR,2015-01-14,,0,0
TQBR,2015-01-15,,0,0
TQBR,2015-01-16,,0,0
TQBR,2015-01-19,,0,0
TQBR,2015-01-20,,0,0
TQBR,2015-01-21,,0,0
TQBR,2015-01-22,,0,0
TQBR,2015-01-23,,0,0
TQBR,2015-01-26,,0,0
TQBR,2015-01-27,,0,0
TQBR,2015-01-28,,0,0
TQBR,2015-01-29,,0,0
TQBR,2015-01-30,,0,0
TQBR,2015-02-02,,0,0
TQBR,2015-02-03,,0,0
TQBR,2015-02-04,10200.0,22,246650
